2905,CALWELL,149.110025,-35.431011
2905,CHISHOLM,149.110025,-35.431011
2905,GILMORE,149.110025,-35.431011
2905,ISABELLA PLAINS,149.110025,-35.431011
2905,RICHARDSON,149.110025,-35.431011
2905,THEODORE,149.110025,-35.431011
2906,BANKS,149.08972,-35.45676
2906,CONDER,149.08972,-35.45676
2906,GORDON,149.08972,-35.45676
2911,CRACE,149.132505,-35.218737
2911,MITCHELL,149.132505,-35.218737
2912,GUNGAHLIN,149.123552,-35.172453
2913,CASEY,149.0947174,-35.16700193
2913,FRANKLIN,149.132349,-35.201802
2913,GINNINDERRA VILLAGE,149.132349,-35.201802
2913,NGUNNAWAL,149.132349,-35.201802
2913,NICHOLLS,149.132349,-35.201802
2913,PALMERSTON,149.132349,-35.201802
2913,TAYLOR,149.1071988,-35.14680361
2914,AMAROO,149.125877,-35.170334
2914,BONNER,149.125877,-35.170334
2914,FORDE,149.125877,-35.170334
2914,HARRISON,149.125877,-35.170334
2914,JACKA,149.130428,-35.14951653
2914,MONCRIEFF,149.116306,-35.15882066
2914,THROSBY,149.1636815,-35.19159199
