id,postcode,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name
1154,2606,O'MALLEY,ACT,149.092601,-35.351693,PHILLIP DC,Delivery Area,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
1155,2606,PHILLIP,ACT,149.092601,-35.351693,PHILLIP DC,Delivery Area,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
1156,2606,PHILLIP DC,ACT,149.092601,-35.351693,ACT and surrounding areas,,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
1157,2606,SWINGER HILL,ACT,149.092601,-35.351693,PHILLIP DC,Delivery Area,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
1158,2606,WODEN,ACT,149.092601,-35.351693,PHILLIP DC,Delivery Area,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
1159,2607,FARRER,ACT,149.094831,-35.369991,PHILLIP DC,Delivery Area,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
1160,2607,ISAACS,ACT,149.094831,-35.369991,PHILLIP DC,Delivery Area,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
4302,2607,TORRENS,ACT,149.094831,-35.369991,PHILLIP DC,Delivery Area,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
4303,2608,CIVIC SQUARE,ACT,149.129372,-35.282868,CIVIC SQUARE,Post Office Boxes,Updated 25-Jan-2020,,,,
20555,2609,CANBERRA AIRPORT,ACT,149.1940419,-35.304469,ACT and surrounding areas,Delivery Area,Updated 6-Feb-2020,80106,South Canberra,801,Australian Capital Territory
4304,2609,CANBERRA INTERNATIONAL AIRPORT,ACT,149.170023,-35.31537,FYSHWICK BC,Delivery Area,Updated 6-Feb-2020,80106,South Canberra,801,Australian Capital Territory
4305,2609,FYSHWICK,ACT,149.170023,-35.31537,FYSHWICK BC,Delivery Area,Updated 6-Feb-2020,80106,South Canberra,801,Australian Capital Territory
20556,2609,MAJURA,ACT,149.191968,-35.289681,ACT and surrounding areas,Delivery Area,Updated 6-Feb-2020,80106,South Canberra,801,Australian Capital Territory
4306,2609,PIALLIGO,ACT,149.170023,-35.31537,FYSHWICK BC,Delivery Area,Updated 6-Feb-2020,80106,South Canberra,801,Australian Capital Territory
4307,2609,SYMONSTON,ACT,149.170023,-35.31537,FYSHWICK BC,Delivery Area,Updated 6-Feb-2020,80106,South Canberra,801,Australian Capital Territory
4308,2610,CANBERRA BC,ACT,0,0,,,,,,,
4309,2610,CANBERRA MC,ACT,0,0,,,,,,,
4311,2611,CHAPMAN,ACT,148.784415,-35.322291,PHILLIP DC,Delivery Area,Updated 6-Feb-2020,80108,Weston Creek,801,Australian Capital Territory
20559,2611,COOMBS,ACT,149.0424372,-35.3167616,ACT and surrounding areas,Delivery Area,Updated 6-Feb-2020,80108,Weston Creek,801,Australian Capital Territory
20560,2611,DENMAN PROSPECT,ACT,149.0248146,-35.29642111,ACT and surrounding areas,Delivery Area,Updated 6-Feb-2020,80108,Weston Creek,801,Australian Capital Territory
4312,2611,DUFFY,ACT,148.784415,-35.322291,PHILLIP DC,Delivery Area,Updated 6-Feb-2020,80108,Weston Creek,801,Australian Capital Territory
4313,2611,FISHER,ACT,148.784415,-35.322291,PHILLIP DC,Delivery Area,Updated 6-Feb-2020,80108,Weston Creek,801,Australian Capital Territory
4314,2611,HOLDER,ACT,148.784415,-35.322291,PHILLIP DC,Delivery Area,Updated 6-Feb-2020,80108,Weston Creek,801,Australian Capital Territory
4315,2611,MOUNT STROMLO,ACT,148.784415,-35.322291,PHILLIP DC,Delivery Area,Updated 6-Feb-2020,80108,Weston Creek,801,Australian Capital Territory
4316,2611,PIERCES CREEK,ACT,148.784415,-35.322291,PHILLIP DC,Delivery Area,Updated 6-Feb-2020,80108,Weston Creek,801,Australian Capital Territory
4317,2611,RIVETT,ACT,148.784415,-35.322291,PHILLIP DC,Delivery Area,Updated 6-Feb-2020,80108,Weston Creek,801,Australian Capital Territory
4318,2611,STIRLING,ACT,148.784415,-35.322291,PHILLIP DC,Delivery Area,Updated 6-Feb-2020,80108,Weston Creek,801,Australian Capital Territory
4039,2611,URIARRA FOREST,ACT,148.784415,-35.322291,PHILLIP DC,Delivery Area,Updated 6-Feb-2020,80108,Weston Creek,801,Australian Capital Territory
20561,2611,URIARRA VILLAGE,ACT,148.9246091,-35.29637716,ACT and surrounding areas,Delivery Area,Updated 6-Feb-2020,80108,Weston Creek,801,Australian Capital Territory
4040,2611,WARAMANGA,ACT,148.784415,-35.322291,PHILLIP DC,Delivery Area,Updated 6-Feb-2020,80108,Weston Creek,801,Australian Capital Territory
4041,2611,WESTON,ACT,148.784415,-35.322291,PHILLIP DC,Delivery Area,Updated 6-Feb-2020,80108,Weston Creek,801,Australian Capital Territory
4042,2611,WESTON CREEK,ACT,148.784415,-35.322291,PHILLIP DC,Delivery Area,Updated 6-Feb-2020,80108,Weston Creek,801,Australian Capital Territory
20562,2611,WRIGHT,ACT,149.0335953,-35.31927827,ACT and surrounding areas,Delivery Area,Updated 6-Feb-2020,80108,Weston Creek,801,Australian Capital Territory
4043,2612,BRADDON,ACT,149.133208,-35.270615,CANBERRA GPO DC,Delivery Area,Updated 6-Feb-2020,80105,North Canberra,801,Australian Capital Territory
4044,2612,CAMPBELL,ACT,149.133208,-35.270615,CANBERRA GPO DC,Delivery Area,Updated 6-Feb-2020,80105,North Canberra,801,Australian Capital Territory
4045,2612,REID,ACT,149.133208,-35.270615,CANBERRA GPO DC,Delivery Area,Updated 6-Feb-2020,80105,North Canberra,801,Australian Capital Territory
4046,2612,TURNER,ACT,149.133208,-35.270615,CANBERRA GPO DC,Delivery Area,Updated 6-Feb-2020,80105,North Canberra,801,Australian Capital Territory
4047,2614,ARANDA,ACT,149.049796,-35.257315,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80101,Belconnen,801,Australian Capital Territory
4048,2614,COOK,ACT,149.049796,-35.257315,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80101,Belconnen,801,Australian Capital Territory
4049,2614,HAWKER,ACT,149.049796,-35.257315,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80101,Belconnen,801,Australian Capital Territory
4050,2614,JAMISON CENTRE,ACT,149.049796,-35.257315,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80101,Belconnen,801,Australian Capital Territory
4051,2614,MACQUARIE,ACT,149.049796,-35.257315,BELCONNEN DC,Delivery Area,Updated 6-Feb-2020,80101,Belconnen,801,Australian Capital Territory
